









Frequency of observations in the selected location(s).:
Number of taxa: 	424

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Graylag x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.698E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.803E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cackling/Canada Goose	9.731E-4	0.0020779	0.0011062	4.677E-4	0.0	0.0010379	0.0011779	0.0011396	0.0	0.0028369	0.0	0.0010453	8.295E-4	4.519E-4	0.0	0.0	2.887E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00123	0.0027211	0.0034106	7.092E-4	0.0014742	0.0	0.0016849	0.0031721	0.0015	0.002004	8.985E-4	7.634E-4	0.0019646	
Mute Swan	0.2228349	0.1953247	0.1902655	0.1768007	0.2506345	0.2065387	0.1652925	0.2991453	0.3142857	0.3196217	0.3167464	0.361324	0.3484032	0.3542702	0.3093682	0.3444039	0.2953233	0.2791122	0.292991	0.3146332	0.2627986	0.1934189	0.1732719	0.1833085	0.1723757	0.1696113	0.1699561	0.1722689	0.2109453	0.1860037	0.2414654	0.2511462	0.2482219	0.2631179	0.2813853	0.299508	0.2952381	0.2728513	0.2943262	0.3090909	0.3637703	0.3074979	0.2315623	0.2446809	0.2314629	0.2039533	0.1587786	0.2082515	
Trumpeter Swan	0.0314629	0.0192208	0.0287611	0.02058	0.0241117	0.0217955	0.0180605	0.0216524	0.0264935	0.0132388	0.0148325	0.0080139	0.0136873	0.0067781	0.0056645	0.0046496	0.0051963	0.0039526	0.00652	0.0117693	0.01843	0.0072231	0.0092166	0.0178838	0.0110497	0.0223793	0.0120614	0.0238095	0.0208955	0.0119705	0.0049958	0.0259806	0.0142248	0.0098859	0.0034632	0.0067651	0.0081633	0.0150068	0.0070922	0.0058968	0.0073638	0.0101095	0.0190325	0.0098784	0.0180361	0.017071	0.0137405	0.0183366	
Tundra Swan	0.0720078	0.0644156	0.0591814	0.0397568	0.0463198	0.0342501	0.029839	0.0461538	0.0368831	0.0335697	0.0267943	0.0188153	0.0099544	0.0013556	4.357E-4	9.963E-4	0.0	9.121E-4	0.0	3.923E-4	6.826E-4	0.0015	9.217E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013643	0.0085106	0.0206388	0.0382916	0.0539174	0.0547185	0.0600304	0.0831663	0.0772686	0.0664122	0.1093648	
Trumpeter/Tundra Swan	0.0029192	0.0057143	0.0027655	0.0032741	0.0031726	0.0051894	0.0062819	0.002849	0.0015584	0.0018913	0.0028708	0.0034843	0.0012443	9.038E-4	4.357E-4	0.0	0.0	3.04E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.094E-4	0.0	0.0	0.0	0.0	6.803E-4	0.0	0.0014184	0.0039312	0.005891	0.0015	0.0039651	0.0030395	0.002004	0.0017969	0.0030534	0.0032744	
swan sp.	0.0064872	0.0135065	0.0094027	0.0070159	0.0057107	0.0036326	0.0102081	0.0108262	0.0057143	0.0061466	0.0038278	0.0031359	0.0041477	0.0018075	0.0017429	0.0016606	5.774E-4	6.081E-4	0.0012225	0.0027462	0.0027304	0.0	0.0	0.0014903	0.0022099	0.0	0.0010965	0.0	9.95E-4	0.0	0.0	0.0015283	7.112E-4	7.605E-4	8.658E-4	6.15E-4	6.803E-4	0.0	0.0021277	0.0014742	0.0036819	8.425E-4	0.001586	0.0053191	0.007014	0.0044924	0.0038168	0.0065488	
goose sp.	0.0	5.195E-4	5.531E-4	0.0	6.345E-4	0.0	0.0	5.698E-4	5.195E-4	0.0	9.569E-4	0.0010453	0.0	9.038E-4	4.357E-4	3.321E-4	8.661E-4	6.081E-4	4.075E-4	7.846E-4	0.0	0.0	0.0	0.0	0.0	0.0023557	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	7.605E-4	0.0017316	0.00123	0.0	0.0020464	0.0	4.914E-4	0.0	0.0	0.0	0.0	0.0	8.985E-4	7.634E-4	0.0	
Muscovy Duck	0.0	0.0	0.0	4.677E-4	0.0	0.0	0.0	5.698E-4	0.0	0.0	0.0	0.0	0.0	0.0	4.357E-4	3.321E-4	0.0	3.04E-4	0.0	3.923E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.658E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wood Duck	0.0016218	0.001039	0.0016593	0.0014032	0.0	5.189E-4	0.0058893	0.0131054	0.0353247	0.0652482	0.1057416	0.1519164	0.1854002	0.2422052	0.2461874	0.27001	0.2491339	0.2176953	0.196414	0.1632013	0.1412969	0.1147673	0.1179724	0.1132638	0.1071823	0.1213192	0.1326754	0.1491597	0.1970149	0.1906077	0.22398	0.2526745	0.2439545	0.2524715	0.2787879	0.2779828	0.2312925	0.2244202	0.1914894	0.180344	0.1553756	0.0741365	0.0412371	0.0167173	0.0130261	0.0089847	0.0091603	0.0019646	
