species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valley_types,is_overwintering,edge_case_flags
Bay-breasted Warbler,two-passage-migrant,two-passage,0.202612,0.0,0.0,16,2,summer|winter,No,classic_bimodal
Blackburnian Warbler,two-passage-migrant,two-passage,0.131227,0.0,0.0,16,2,summer|winter,No,classic_bimodal
Northern Yellow Warbler,single-season,summer,0.503401,0.0,0.0,22,1,winter,No,
Chestnut-sided Warbler,two-passage-migrant,two-passage,0.151276,0.0,0.0,25,2,summer|winter,No,classic_bimodal
Blackpoll Warbler,two-passage-migrant,two-passage,0.134627,0.0,0.0,19,2,summer|winter,No,classic_bimodal
Black-throated Blue Warbler,two-passage-migrant,two-passage,0.092421,0.0,0.0,18,2,summer|winter,No,classic_bimodal
Palm Warbler,two-passage-migrant,two-passage,0.238112,0.0,0.0,23,2,summer|winter,No,classic_bimodal
Pine Warbler,two-passage-migrant,two-passage,0.060721,0.0,0.0,32,2,summer|winter,No,classic_bimodal
Yellow-rumped Warbler,two-passage-migrant,two-passage,0.38434,0.0,0.0,39,2,summer|winter,Yes,classic_bimodal
Yellow-throated Warbler,single-season,summer,0.005124,0.0,0.0,14,1,winter,No,low_presence
Prairie Warbler,single-season,summer,0.006316,0.0,0.0,14,1,winter,No,low_presence
Black-throated Gray Warbler,vagrant,irregular,0.000358,0.0,0.0,2,1,winter,No,low_peak_frequency
Black-throated Green Warbler,two-passage-migrant,two-passage,0.158384,0.0,0.0,26,2,summer|winter,No,classic_bimodal
Canada Warbler,two-passage-migrant,two-passage,0.049239,0.0,0.0,15,2,summer|winter,No,classic_bimodal
Wilson's Warbler,two-passage-migrant,two-passage,0.077018,0.0,0.0,16,2,summer|winter,No,classic_bimodal
Summer Tanager,single-season,summer,0.008252,0.0,0.0,13,1,winter,No,low_presence
Scarlet Tanager,two-passage-migrant,two-passage,0.183349,0.0,0.0,26,2,summer|winter,No,classic_bimodal
Western Tanager,vagrant,irregular,0.000355,0.0,0.0,1,1,winter,No,low_peak_frequency
Northern Cardinal,resident,year-round,0.714456,0.407061,0.5697,48,0,,No,
Rose-breasted Grosbeak,single-season,summer,0.431811,0.0,0.0,29,1,winter,No,
Blue Grosbeak,single-season,summer,0.02116,0.0,0.0,19,1,winter,No,
Indigo Bunting,single-season,summer,0.303269,0.0,0.0,25,1,winter,No,
Dickcissel,single-season,summer,0.035618,0.0,0.0,18,1,winter,No,
