species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valley_types,is_overwintering,edge_case_flags
Semipalmated Sandpiper,two-passage-migrant,two-passage,0.027205,0.0,0.0,18,2,summer|winter,No,classic_bimodal
Sabine's Gull,vagrant,irregular,0.000302,0.0,0.0,1,1,winter,No,low_peak_frequency
Bonaparte's Gull,two-passage-migrant,two-passage,0.043754,0.0,0.0,39,2,winter|summer,Yes,classic_bimodal
Laughing Gull,vagrant,irregular,0.0015,0.0,0.0,1,1,winter,No,low_peak_frequency
Franklin's Gull,vagrant,irregular,0.0015,0.0,0.0,3,1,winter,No,low_peak_frequency
Ring-billed Gull,single-season,winter,0.227218,0.02258,0.0994,48,1,summer,No,overwintering
American Herring Gull,single-season,winter,0.116603,0.003193,0.0274,48,2,summer|summer,No,overwintering|two_summer_valleys_merged
Great Black-backed Gull,single-season,winter,0.018234,0.0,0.0,19,1,summer,Yes,overwintering
American Herring x Great Black-backed Gull (hybrid),vagrant,irregular,0.0015,0.0,0.0,1,1,winter,No,low_peak_frequency
Glaucous Gull,single-season,winter,0.013916,0.0,0.0,17,1,summer,No,overwintering
American Herring x Glaucous Gull (hybrid),vagrant,irregular,0.000476,0.0,0.0,1,1,winter,No,low_peak_frequency
Lesser Black-backed Gull,two-passage-migrant,two-passage,0.03023,0.0,0.0,26,2,winter|summer,Yes,classic_bimodal
American Herring x Lesser Black-backed Gull (hybrid),vagrant,irregular,0.000476,0.0,0.0,2,1,winter,No,low_peak_frequency
Slaty-backed Gull,vagrant,irregular,0.000328,0.0,0.0,1,1,winter,No,low_peak_frequency
Iceland Gull,single-season,winter,0.012381,0.0,0.0,16,1,summer,No,overwintering
Caspian Tern,two-passage-migrant,two-passage,0.035073,0.0,0.0,27,2,summer|winter,No,classic_bimodal
Black Tern,vagrant,irregular,0.003401,0.0,0.0,13,1,winter,No,low_peak_frequency|low_presence
Forster's Tern,two-passage-migrant,two-passage,0.006221,0.0,0.0,18,2,summer|winter,No,classic_bimodal
Common Tern,vagrant,irregular,0.00204,0.0,0.0,15,1,winter,No,low_peak_frequency
Pied-billed Grebe,two-passage-migrant,two-passage,0.145927,0.005589,0.0383,48,2,summer|winter,No,classic_bimodal
Horned Grebe,two-passage-migrant,two-passage,0.067312,0.0,0.0,33,2,summer|winter,No,classic_bimodal
Red-necked Grebe,two-passage-migrant,two-passage,0.011905,0.0,0.0,21,2,winter|summer,No,classic_bimodal
Eared Grebe,vagrant,irregular,0.000953,0.0,0.0,1,1,winter,No,low_peak_frequency
Red-throated Loon,vagrant,irregular,0.006247,0.0,0.0,9,1,winter,No,
Pacific Loon,vagrant,irregular,0.005714,0.0,0.0,6,1,summer,No,
Common Loon,two-passage-migrant,two-passage,0.089861,0.0,0.0,31,2,summer|winter,No,classic_bimodal
Anhinga,vagrant,irregular,8.9e-05,0.0,0.0,1,1,winter,No,low_peak_frequency
Double-crested Cormorant,single-season,summer,0.10536,0.0,0.0,39,1,winter,No,
White-faced Ibis,vagrant,irregular,0.000162,0.0,0.0,1,1,winter,No,low_peak_frequency
Roseate Spoonbill,vagrant,irregular,0.097207,0.0,0.0,2,1,winter,No,
American Bittern,vagrant,irregular,0.004529,0.0,0.0,17,1,winter,No,low_peak_frequency
Least Bittern,single-season,summer,0.005404,0.0,0.0,17,1,winter,No,
Yellow-crowned Night Heron,two-passage-migrant,two-passage,0.016212,0.0,0.0,10,2,summer|winter,No,classic_bimodal|low_presence
Black-crowned Night Heron,single-season,summer,0.022964,0.0,0.0,46,1,winter,No,
Little Blue Heron,vagrant,irregular,0.011691,0.0,0.0,5,2,summer|winter,No,
Snowy Egret,single-season,summer,0.015866,0.0,0.0,14,1,winter,No,low_presence
Green Heron,single-season,summer,0.175916,0.0,0.0,29,1,winter,No,
Western Cattle-Egret,vagrant,irregular,0.003989,0.0,0.0,14,1,winter,No,low_peak_frequency|low_presence
Great Egret,single-season,summer,0.267223,0.0,0.0,38,1,winter,No,
Great Blue Heron,resident,year-round,0.298956,0.030536,0.1021,48,0,,No,seasonal_variation|min_max_near_boundary
American White Pelican,single-season,summer,0.00786,0.0,0.0,16,1,winter,No,
Black Vulture,single-season,summer,0.010828,0.0,0.0,15,1,winter,Yes,
Turkey Vulture,single-season,summer,0.393301,0.006718,0.0171,48,1,winter,No,
Osprey,single-season,summer,0.087265,0.0,0.0,36,1,winter,No,
Swallow-tailed Kite,vagrant,irregular,0.0015,0.0,0.0,1,1,winter,No,low_peak_frequency
Golden Eagle,single-season,summer,0.012284,0.0,0.0,24,1,winter,No,
Sharp-shinned Hawk,single-season,winter,0.033014,0.0,0.0,41,1,summer,Yes,overwintering
Cooper's Hawk,resident,year-round,0.086497,0.021933,0.2536,48,0,,No,seasonal_variation
American Goshawk,vagrant,irregular,0.0015,0.0,0.0,9,1,winter,No,low_peak_frequency
