species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valley_types,is_overwintering,edge_case_flags
Ruffed Grouse,single-season,winter,0.090164,0.0,0.0,42,1,summer,No,overwintering
Ring-necked Pheasant,two-passage-migrant,two-passage,0.043478,0.0,0.0,20,3,winter|summer|winter,No,three_valley_migrant
Chukar,vagrant,irregular,0.007634,0.0,0.0,1,1,winter,No,low_annual_presence
Rock Pigeon,vagrant,irregular,0.15126,0.0,0.0,44,1,summer,No,overwintering|low_annual_presence
Mourning Dove,resident,year-round,0.710526,0.216216,0.3043,48,0,,No,seasonal_variation
Yellow-billed Cuckoo,two-passage-migrant,two-passage,0.078947,0.0,0.0,11,2,summer|winter,No,classic_bimodal|low_presence
Black-billed Cuckoo,single-season,summer,0.103448,0.0,0.0,11,1,winter,No,low_presence
Common Nighthawk,two-passage-migrant,two-passage,0.21875,0.0,0.0,10,2,summer|winter,No,classic_bimodal|low_presence
Eastern Whip-poor-will,single-season,summer,0.032258,0.0,0.0,11,1,winter,No,low_presence
Chimney Swift,single-season,summer,0.08,0.0,0.0,15,1,winter,No,
Ruby-throated Hummingbird,single-season,summer,0.40625,0.0,0.0,20,1,winter,No,
Virginia Rail,two-passage-migrant,two-passage,0.080645,0.0,0.0,10,2,summer|winter,No,classic_bimodal|low_presence
Sora,two-passage-migrant,two-passage,0.048387,0.0,0.0,10,2,summer|winter,No,classic_bimodal|low_presence
Common Gallinule,vagrant,irregular,0.010417,0.0,0.0,1,1,winter,No,low_annual_presence
American Coot,two-passage-migrant,two-passage,0.021739,0.0,0.0,13,2,winter|summer,No,classic_bimodal|low_presence
Sandhill Crane,single-season,summer,0.213115,0.0,0.0,36,1,winter,No,
Black-bellied Plover,vagrant,irregular,0.045455,0.0,0.0,1,1,winter,No,low_annual_presence
American Golden-Plover,vagrant,irregular,0.0015,0.0,0.0,1,1,winter,No,low_peak_frequency|low_annual_presence
Killdeer,single-season,summer,0.21875,0.0,0.0,32,1,winter,No,
Semipalmated Plover,vagrant,irregular,0.009901,0.0,0.0,1,1,winter,No,low_annual_presence
Upland Sandpiper,vagrant,irregular,0.010417,0.0,0.0,5,2,summer|winter,No,low_annual_presence
Hudsonian Whimbrel,vagrant,irregular,0.007042,0.0,0.0,1,1,winter,No,low_annual_presence
Short-billed Dowitcher,vagrant,irregular,0.015625,0.0,0.0,1,1,winter,No,low_annual_presence
Long-billed Dowitcher,vagrant,irregular,0.0015,0.0,0.0,1,1,winter,No,low_peak_frequency|low_annual_presence
American Woodcock,two-passage-migrant,two-passage,0.075,0.0,0.0,19,2,summer|winter,No,classic_bimodal
Wilson's Snipe,two-passage-migrant,two-passage,0.054688,0.0,0.0,20,2,summer|winter,No,classic_bimodal
Spotted Sandpiper,two-passage-migrant,two-passage,0.15625,0.0,0.0,16,2,summer|winter,No,classic_bimodal
Solitary Sandpiper,vagrant,irregular,0.0625,0.0,0.0,8,2,summer|winter,No,
Lesser Yellowlegs,two-passage-migrant,two-passage,0.054795,0.0,0.0,11,2,summer|winter,No,classic_bimodal|low_presence
Greater Yellowlegs,vagrant,irregular,0.123288,0.0,0.0,12,3,summer|summer|winter,No,three_valleys_irregular|low_presence
Dunlin,vagrant,irregular,0.027273,0.0,0.0,5,2,summer|winter,No,low_annual_presence
Least Sandpiper,vagrant,irregular,0.015873,0.0,0.0,6,2,summer|winter,No,low_annual_presence
Pectoral Sandpiper,vagrant,irregular,0.045455,0.0,0.0,8,2,summer|winter,No,low_annual_presence
Semipalmated Sandpiper,vagrant,irregular,0.026316,0.0,0.0,3,2,summer|winter,No,low_annual_presence
Bonaparte's Gull,vagrant,irregular,0.027273,0.0,0.0,5,2,summer|winter,No,low_annual_presence
Ring-billed Gull,two-passage-migrant,two-passage,0.269841,0.0,0.0,45,2,winter|summer,No,classic_bimodal
American Herring Gull,two-passage-migrant,two-passage,0.097222,0.0,0.0,37,2,winter|summer,No,classic_bimodal
Caspian Tern,single-season,summer,0.069767,0.0,0.0,17,1,winter,No,
Black Tern,single-season,summer,0.112903,0.0,0.0,12,1,winter,No,low_presence
Forster's Tern,vagrant,irregular,0.023256,0.0,0.0,2,2,summer|winter,No,low_annual_presence
Common Tern,vagrant,irregular,0.008929,0.0,0.0,1,1,winter,No,low_annual_presence
Pied-billed Grebe,two-passage-migrant,two-passage,0.15,0.0,0.0,34,2,summer|winter,No,classic_bimodal
Horned Grebe,vagrant,irregular,0.065574,0.0,0.0,11,4,winter|summer|summer|summer,No,many_valleys|low_presence
Red-necked Grebe,vagrant,irregular,0.006897,0.0,0.0,1,1,winter,No,low_annual_presence
Common Loon,two-passage-migrant,two-passage,0.21875,0.0,0.0,29,2,summer|winter,No,classic_bimodal
Double-crested Cormorant,two-passage-migrant,two-passage,0.125,0.0,0.0,23,2,summer|winter,No,classic_bimodal
American Bittern,vagrant,irregular,0.039062,0.0,0.0,8,2,summer|winter,No,
Least Bittern,vagrant,irregular,0.02,0.0,0.0,4,1,winter,No,low_annual_presence
Green Heron,single-season,summer,0.139535,0.0,0.0,20,1,winter,No,
Great Egret,single-season,summer,0.21875,0.0,0.0,25,1,winter,No,
Great Blue Heron,single-season,summer,0.34375,0.0,0.0,42,1,winter,No,
Turkey Vulture,single-season,summer,0.5,0.0,0.0,32,1,winter,No,
Osprey,two-passage-migrant,two-passage,0.079365,0.0,0.0,21,2,summer|winter,No,classic_bimodal
Golden Eagle,vagrant,irregular,0.018182,0.0,0.0,5,2,winter|summer,No,low_annual_presence
Sharp-shinned Hawk,two-passage-migrant,two-passage,0.03125,0.0,0.0,22,3,winter|summer|winter,No,three_valley_migrant
Cooper's Hawk,single-season,summer,0.0625,0.0,0.0,40,1,winter,No,
American Goshawk,vagrant,irregular,0.020833,0.0,0.0,4,1,winter,No,low_annual_presence
Northern Harrier,single-season,winter,0.108108,0.0,0.0,37,1,summer,No,overwintering
Bald Eagle,resident,year-round,0.1875,0.014286,0.0762,48,0,,No,seasonal_variation|min_max_near_boundary
Broad-winged Hawk,single-season,summer,0.064516,0.0,0.0,21,1,winter,No,
Red-shouldered Hawk,resident,year-round,0.111111,0.0,0.0,46,0,,No,seasonal_variation|min_max_near_boundary
Red-tailed Hawk,resident,year-round,0.157895,0.0015,0.0095,48,0,,No,seasonal_variation|min_max_near_boundary
Rough-legged Hawk,single-season,winter,0.132653,0.0,0.0,23,1,summer,Yes,overwintering
Eastern Screech-Owl,vagrant,irregular,0.046512,0.0,0.0,15,4,winter|summer|summer|winter,Yes,many_valleys
Snowy Owl,vagrant,irregular,0.010417,0.0,0.0,2,1,summer,No,low_annual_presence
Great Horned Owl,two-passage-migrant,two-passage,0.020202,0.0,0.0,16,3,winter|summer|winter,No,three_valley_migrant
Barred Owl,single-season,summer,0.060606,0.0,0.0,40,1,winter,No,
Short-eared Owl,vagrant,irregular,0.036145,0.0,0.0,15,1,summer,Yes,overwintering|low_annual_presence
Northern Saw-whet Owl,vagrant,irregular,0.006098,0.0,0.0,2,1,winter,No,low_annual_presence
Belted Kingfisher,single-season,summer,0.28125,0.0,0.0,42,1,winter,No,
Yellow-bellied Sapsucker,single-season,summer,0.234375,0.0,0.0,27,1,winter,No,
Red-headed Woodpecker,resident,year-round,0.111111,0.0,0.0,44,0,,No,seasonal_variation|min_max_near_boundary
Red-bellied Woodpecker,resident,year-round,0.465649,0.125,0.2684,48,0,,No,seasonal_variation
Downy Woodpecker,resident,year-round,0.519084,0.09375,0.1806,48,0,,No,seasonal_variation|min_max_near_boundary
Hairy Woodpecker,resident,year-round,0.374046,0.0,0.0,47,0,,No,seasonal_variation|min_max_near_boundary
Pileated Woodpecker,resident,year-round,0.29771,0.041667,0.14,48,0,,No,seasonal_variation|min_max_near_boundary
Northern Flicker,two-passage-migrant,two-passage,0.412698,0.0,0.0,46,2,winter|winter,No,separated_valleys
American Kestrel,vagrant,irregular,0.12,0.0015,0.0125,48,1,mixed,No,one_valley_mixed_season
Merlin,vagrant,irregular,0.0625,0.0,0.0,29,4,summer|summer|summer|winter,No,many_valleys
Peregrine Falcon,vagrant,irregular,0.026316,0.0,0.0,3,2,summer|winter,No,
Olive-sided Flycatcher,vagrant,irregular,0.0625,0.0,0.0,6,1,winter,No,
Eastern Wood-Pewee,single-season,summer,0.333333,0.0,0.0,19,1,winter,No,
Yellow-bellied Flycatcher,vagrant,irregular,0.058824,0.0,0.0,3,2,summer|winter,No,low_annual_presence
Acadian Flycatcher,vagrant,irregular,0.0015,0.0,0.0,1,1,winter,No,low_peak_frequency|low_annual_presence
Alder Flycatcher,single-season,summer,0.129032,0.0,0.0,10,1,winter,No,low_presence
Willow Flycatcher,single-season,summer,0.080645,0.0,0.0,11,1,winter,No,low_presence
Least Flycatcher,single-season,summer,0.125,0.0,0.0,14,1,winter,No,low_presence
Eastern Phoebe,single-season,summer,0.18,0.0,0.0,29,1,winter,No,
Great Crested Flycatcher,single-season,summer,0.415493,0.0,0.0,17,1,winter,No,
Eastern Kingbird,single-season,summer,0.387097,0.0,0.0,17,1,winter,No,
Yellow-throated Vireo,single-season,summer,0.129032,0.0,0.0,19,1,winter,No,
Blue-headed Vireo,two-passage-migrant,two-passage,0.113636,0.0,0.0,16,2,summer|winter,No,classic_bimodal
Philadelphia Vireo,vagrant,irregular,0.073529,0.0,0.0,6,2,summer|winter,No,
Eastern Warbling Vireo,single-season,summer,0.218391,0.0,0.0,17,1,winter,No,
Red-eyed Vireo,single-season,summer,0.402299,0.0,0.0,19,1,winter,No,
Northern Shrike,single-season,winter,0.054217,0.0,0.0,20,1,summer,Yes,overwintering
Blue Jay,resident,year-round,0.717391,0.213415,0.2975,48,0,,No,seasonal_variation
American Crow,resident,year-round,0.5,0.195652,0.3913,48,0,,No,seasonal_variation
Common Raven,resident,year-round,0.15625,0.0015,0.0096,48,0,,No,seasonal_variation|min_max_near_boundary
Black-capped Chickadee,resident,year-round,0.698113,0.283019,0.4054,48,0,,No,seasonal_variation
Tufted Titmouse,resident,year-round,0.427481,0.072917,0.1706,48,0,,No,seasonal_variation|min_max_near_boundary
Horned Lark,single-season,winter,0.061069,0.0,0.0,26,1,summer,No,overwintering
Bank Swallow,single-season,summer,0.045455,0.0,0.0,15,1,winter,No,
Tree Swallow,single-season,summer,0.383929,0.0,0.0,24,1,winter,No,
Purple Martin,single-season,summer,0.09434,0.0,0.0,16,1,winter,No,
Northern Rough-winged Swallow,single-season,summer,0.105263,0.0,0.0,15,1,winter,No,
Barn Swallow,single-season,summer,0.24,0.0,0.0,20,1,winter,No,
Cliff Swallow,single-season,summer,0.0625,0.0,0.0,13,1,winter,No,low_presence
Ruby-crowned Kinglet,two-passage-migrant,two-passage,0.207547,0.0,0.0,14,2,summer|winter,No,classic_bimodal|low_presence
Golden-crowned Kinglet,two-passage-migrant,two-passage,0.125,0.0,0.0,24,2,summer|winter,Yes,classic_bimodal
White-breasted Nuthatch,resident,year-round,0.525,0.112903,0.2151,48,0,,No,seasonal_variation
Red-breasted Nuthatch,resident,year-round,0.375,0.009434,0.0252,48,0,,No,seasonal_variation|min_max_near_boundary
Brown Creeper,single-season,winter,0.15,0.0,0.0,44,1,summer,No,overwintering
Blue-gray Gnatcatcher,single-season,summer,0.109375,0.0,0.0,18,1,winter,No,
Northern House Wren,single-season,summer,0.267327,0.0,0.0,22,1,winter,No,
Winter Wren,two-passage-migrant,two-passage,0.0625,0.0,0.0,17,2,summer|winter,No,classic_bimodal
Sedge Wren,single-season,summer,0.078947,0.0,0.0,11,1,winter,No,low_presence
Marsh Wren,single-season,summer,0.046512,0.0,0.0,10,1,winter,No,low_presence
Carolina Wren,single-season,winter,0.046875,0.0,0.0,25,1,summer,No,overwintering
European Starling,resident,year-round,0.275862,0.044118,0.1599,48,0,,No,seasonal_variation|min_max_near_boundary
Gray Catbird,single-season,summer,0.4375,0.0,0.0,23,1,winter,No,
Brown Thrasher,single-season,summer,0.145161,0.0,0.0,21,1,winter,No,
Sage Thrasher,vagrant,irregular,0.018072,0.0,0.0,1,1,winter,No,low_annual_presence
Northern Mockingbird,vagrant,irregular,0.009434,0.0,0.0,1,1,winter,No,low_annual_presence
Eastern Bluebird,resident,year-round,0.178571,0.0015,0.0084,48,0,,No,seasonal_variation|min_max_near_boundary
Veery,single-season,summer,0.367816,0.0,0.0,18,1,winter,No,
Gray-cheeked Thrush,vagrant,irregular,0.022727,0.0,0.0,3,2,summer|winter,No,low_annual_presence
Swainson's Thrush,vagrant,irregular,0.083333,0.0,0.0,9,2,summer|winter,No,
Hermit Thrush,two-passage-migrant,two-passage,0.140625,0.0,0.0,23,2,summer|winter,No,classic_bimodal
Wood Thrush,single-season,summer,0.138614,0.0,0.0,14,1,winter,No,low_presence
American Robin,single-season,summer,0.714286,0.0015,0.0021,48,1,winter,No,
Bohemian Waxwing,vagrant,irregular,0.020833,0.0,0.0,3,1,summer,No,low_annual_presence
Cedar Waxwing,single-season,summer,0.52,0.0,0.0,46,1,winter,No,
House Sparrow,single-season,summer,0.253968,0.0,0.0,46,1,winter,No,
American Pipit,single-season,summer,0.081081,0.0,0.0,10,1,winter,No,low_presence
Evening Grosbeak,vagrant,irregular,0.042857,0.0,0.0,11,1,summer,Yes,overwintering|low_presence|low_annual_presence
Pine Grosbeak,vagrant,irregular,0.004348,0.0,0.0,1,1,winter,No,low_peak_frequency|low_annual_presence
House Finch,resident,year-round,0.213115,0.0,0.0,46,0,,No,seasonal_variation|min_max_near_boundary
Purple Finch,resident,year-round,0.15625,0.0,0.0,47,0,,No,seasonal_variation|min_max_near_boundary
Redpoll,vagrant,irregular,0.099237,0.0,0.0,13,1,summer,No,overwintering|low_presence|low_annual_presence
White-winged Crossbill,vagrant,irregular,0.010101,0.0,0.0,6,2,summer|winter,Yes,low_annual_presence
Pine Siskin,single-season,winter,0.165217,0.0,0.0,32,1,summer,Yes,overwintering
American Goldfinch,resident,year-round,0.578947,0.145454,0.2512,48,0,,No,seasonal_variation
Lapland Longspur,vagrant,irregular,0.01005,0.0,0.0,1,1,winter,No,low_annual_presence
Snow Bunting,single-season,winter,0.052083,0.0,0.0,15,1,summer,Yes,overwintering
Grasshopper Sparrow,vagrant,irregular,0.026316,0.0,0.0,7,1,winter,No,low_annual_presence
Chipping Sparrow,single-season,summer,0.410714,0.0,0.0,29,1,winter,No,
Clay-colored Sparrow,single-season,summer,0.052632,0.0,0.0,11,1,winter,No,low_presence
Field Sparrow,single-season,summer,0.18421,0.0,0.0,24,1,winter,No,
American Tree Sparrow,single-season,winter,0.28125,0.0,0.0,29,1,summer,Yes,overwintering
Fox Sparrow,two-passage-migrant,two-passage,0.052632,0.0,0.0,14,2,summer|winter,No,classic_bimodal|low_presence
Dark-eyed Junco,single-season,winter,0.484375,0.0,0.0,35,1,summer,Yes,overwintering
White-crowned Sparrow,two-passage-migrant,two-passage,0.207921,0.0,0.0,10,2,summer|winter,No,classic_bimodal|low_presence
White-throated Sparrow,two-passage-migrant,two-passage,0.25,0.0,0.0,31,2,summer|winter,No,classic_bimodal
Vesper Sparrow,two-passage-migrant,two-passage,0.032258,0.0,0.0,12,2,summer|winter,No,classic_bimodal|low_presence
LeConte's Sparrow,vagrant,irregular,0.0015,0.0,0.0,1,1,winter,No,low_peak_frequency|low_annual_presence
Savannah Sparrow,two-passage-migrant,two-passage,0.135417,0.0,0.0,19,2,summer|winter,No,classic_bimodal
Henslow's Sparrow,vagrant,irregular,0.011494,0.0,0.0,2,1,winter,No,low_annual_presence
Song Sparrow,single-season,summer,0.578947,0.0,0.0,34,1,winter,No,
Lincoln's Sparrow,vagrant,irregular,0.0625,0.0,0.0,6,2,summer|winter,No,
Swamp Sparrow,single-season,summer,0.183908,0.0,0.0,23,1,winter,No,
Eastern Towhee,single-season,summer,0.296875,0.0,0.0,28,1,winter,No,
Yellow-breasted Chat,vagrant,irregular,0.0015,0.0,0.0,1,1,winter,No,low_peak_frequency|low_annual_presence
Yellow-headed Blackbird,vagrant,irregular,0.0015,0.0,0.0,1,1,winter,No,low_peak_frequency|low_annual_presence
Bobolink,single-season,summer,0.080645,0.0,0.0,14,1,winter,No,low_presence
Western Meadowlark,vagrant,irregular,0.017241,0.0,0.0,2,1,winter,No,low_annual_presence
Eastern Meadowlark,two-passage-migrant,two-passage,0.125,0.0,0.0,24,2,summer|winter,No,classic_bimodal
Orchard Oriole,single-season,summer,0.1,0.0,0.0,11,1,winter,No,low_presence
Baltimore Oriole,single-season,summer,0.514852,0.0,0.0,18,1,winter,No,
Red-winged Blackbird,two-passage-migrant,two-passage,0.677419,0.0,0.0,41,2,summer|winter,No,classic_bimodal
Brown-headed Cowbird,single-season,summer,0.401786,0.0,0.0,22,1,winter,No,
Rusty Blackbird,two-passage-migrant,two-passage,0.113208,0.0,0.0,14,2,summer|winter,No,classic_bimodal|low_presence
Brewer's Blackbird,two-passage-migrant,two-passage,0.052632,0.0,0.0,13,2,summer|winter,No,classic_bimodal|low_presence
Common Grackle,two-passage-migrant,two-passage,0.473214,0.0,0.0,35,2,summer|winter,No,classic_bimodal
Ovenbird,two-passage-migrant,two-passage,0.247525,0.0,0.0,17,2,summer|winter,No,classic_bimodal
Louisiana Waterthrush,vagrant,irregular,0.006897,0.0,0.0,1,1,winter,No,low_annual_presence
Northern Waterthrush,single-season,summer,0.053571,0.0,0.0,12,1,winter,No,low_presence
Golden-winged Warbler,two-passage-migrant,two-passage,0.164062,0.0,0.0,15,2,summer|winter,No,classic_bimodal
Blue-winged Warbler,single-season,summer,0.101562,0.0,0.0,15,1,winter,No,
Black-and-white Warbler,single-season,summer,0.161765,0.0,0.0,20,1,winter,No,
Tennessee Warbler,vagrant,irregular,0.09375,0.0,0.0,8,2,summer|winter,No,
Orange-crowned Warbler,vagrant,irregular,0.1,0.0,0.0,4,2,summer|winter,No,low_annual_presence
Nashville Warbler,two-passage-migrant,two-passage,0.217822,0.0,0.0,19,2,summer|winter,No,classic_bimodal
Mourning Warbler,two-passage-migrant,two-passage,0.16129,0.0,0.0,15,2,summer|winter,No,classic_bimodal
Common Yellowthroat,single-season,summer,0.414062,0.0,0.0,23,1,winter,No,
American Redstart,single-season,summer,0.414062,0.0,0.0,21,1,winter,No,
Cape May Warbler,vagrant,irregular,0.102941,0.0,0.0,6,2,summer|winter,No,
Northern Parula,vagrant,irregular,0.136364,0.0,0.0,11,3,summer|summer|winter,No,three_valleys_irregular|low_presence
Magnolia Warbler,two-passage-migrant,two-passage,0.078125,0.0,0.0,11,2,summer|winter,No,classic_bimodal|low_presence
Bay-breasted Warbler,vagrant,irregular,0.109375,0.0,0.0,9,2,summer|winter,No,
Blackburnian Warbler,two-passage-migrant,two-passage,0.102941,0.0,0.0,11,2,summer|winter,No,classic_bimodal|low_presence
Northern Yellow Warbler,single-season,summer,0.451613,0.0,0.0,16,1,winter,No,
Chestnut-sided Warbler,single-season,summer,0.195312,0.0,0.0,20,1,winter,No,
Blackpoll Warbler,vagrant,irregular,0.055556,0.0,0.0,6,2,summer|winter,No,
Black-throated Blue Warbler,vagrant,irregular,0.029412,0.0,0.0,6,2,summer|winter,No,
Palm Warbler,two-passage-migrant,two-passage,0.125,0.0,0.0,12,2,summer|winter,No,classic_bimodal|low_presence
Pine Warbler,single-season,summer,0.16129,0.0,0.0,23,1,winter,No,
Yellow-rumped Warbler,two-passage-migrant,two-passage,0.25,0.0,0.0,23,2,summer|winter,No,classic_bimodal
Black-throated Green Warbler,two-passage-migrant,two-passage,0.09901,0.0,0.0,19,2,summer|winter,No,classic_bimodal
Canada Warbler,vagrant,irregular,0.049296,0.0,0.0,9,2,summer|winter,No,
Wilson's Warbler,vagrant,irregular,0.044118,0.0,0.0,4,2,summer|winter,No,low_annual_presence
Scarlet Tanager,single-season,summer,0.203125,0.0,0.0,19,1,winter,No,
Northern Cardinal,resident,year-round,0.5,0.159091,0.3182,48,0,,No,seasonal_variation
Rose-breasted Grosbeak,single-season,summer,0.485148,0.0,0.0,24,1,winter,No,
Indigo Bunting,single-season,summer,0.290323,0.0,0.0,17,1,winter,No,
Dickcissel,vagrant,irregular,0.06,0.0,0.0,4,1,winter,No,low_annual_presence
